Group1_key,ecatalogue_key,CatFullNumber,Present Sci name,Phylum,Class,Order,Family,Genus,Ocean,SeaGulf,BaySound,Country,ProvinceStateTerritory,DistrictCountyShire,Township,NearestNamedPlace,PreciseLocation,AquDepthFromMet,AquDepthToMet,ColDate,Year Collected,Collector,Lat,Long
408,408,IZ.046140,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,West Haven,Savin Rock,,,1872-05-,1872,Verrill,41.275,-72.964
409,409,IZ.046141,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,,,,,,Verrill,41.275,-72.964
410,410,IZ.046142,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,,,,1877,1877,Verrill,41.275,-72.964
411,411,IZ.046144,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,East Haven,,,,1865-01-,1865,Verrill,41.297,-72.857
412,412,IZ.046146,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,,,,,,Verrill,41.275,-72.964
413,413,IZ.046148,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,West Haven,Savin Rock,,,1871-10-,1871,Verrill,41.275,-72.964
414,414,IZ.046149,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,West Haven,Savin Rock,,,1872-05-,1872,Verrill,41.275,-72.964
415,415,IZ.046155,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
416,416,IZ.046156,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
417,417,IZ.046157,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,Outer Island,,,,,Verrill,41.279,-72.797
418,418,IZ.046641,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,1877,1877,Verrill,41.307,-72.925
30,30,IZ.000223.AN,Polycirrus eximius,Annelida,Polychaeta,Terebellida,Terebellidae,Polycirrus,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,Stony Creek,,,,1871-05-15,1871,Verrill,41.279,-72.797
56,56,IZ.000392.AN,Polycirrus eximius,Annelida,Polychaeta,Terebellida,Terebellidae,Polycirrus,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,(and South End),,,1866-12-,1866,Verrill,41.275,-72.964
57,57,IZ.000393.AN,Polycirrus eximius,Annelida,Polychaeta,Terebellida,Terebellidae,Polycirrus,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,(and South End),,,1866-12-,1866,Verrill,41.275,-72.964
327,327,IZ.042598,Polycirrus eximius,Annelida,Polychaeta,Terebellida,Terebellidae,Polycirrus,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
22,22,IZ.000203.AN,Polydora sp.,Annelida,Polychaeta,Sedentarida,Spionidae,Polydora,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,off South End,,,1871-05-29,1871,Verrill,41.307,-72.925
174,174,IZ.002886.AN,Polydora sp.,Annelida,Polychaeta,Sedentarida,Spionidae,Polydora,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,Outer Island,,,1892-10-01,1892,Verrill,41.279,-72.797
439,439,IZ.095715,Polydora sp.,Annelida,Polychaeta,Sedentarida,Spionidae,Polydora,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,,,,1877-10-,1877,Verrill,41.275,-72.964
173,173,IZ.002863.AN,Polynoidae,Annelida,Polychaeta,Phyllodocida,Polynoidae, ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,in pools,,,1874-09-29,1874,Verrill,41.279,-72.797
297,297,IZ.027175,Polynoidae,Annelida,Polychaeta,Phyllodocida,Polynoidae, ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,1881-05-22,1881,Verrill,41.307,-72.925
12,12,IZ.000177.AN,Proceraea cornuta,Annelida,Polychaeta,Phyllodocida,Syllidae,Proceraea,Atlantic Ocean,,,USA,,,,Long Island Sound,,,,1866,,Verrill,,
451,451,IZ.102190,Rhepoxynius epistomus,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Rhepoxynius,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,,Noank,,,,1874,1874,Verrill,41.358,-72.028
129,129,IZ.001243.CR,Rhithropanopeus harrisii,Arthropoda,Malacostraca,Decapoda,Panopeidae,Rhithropanopeus,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
130,130,IZ.001244.CR,Rhithropanopeus harrisii,Arthropoda,Malacostraca,Decapoda,Panopeidae,Rhithropanopeus,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
164,164,IZ.002712.CR,Rhithropanopeus harrisii,Arthropoda,Malacostraca,Decapoda,Panopeidae,Rhithropanopeus,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,New Haven,New Haven Harbor,in logs at Austin's Dock,,,1892-09-,1892,Verrill,41.307,-72.925
122,122,IZ.000792.AN,Sabaco elongatus,Annelida,Polychaeta,Capitellida,Maldanidae,Sabaco,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,West Haven,Savin Rock,,,1872-05-,1872,Verrill,41.275,-72.964
11,11,IZ.000167.AN,Sabellaria vulgaris,Annelida,Polychaeta,Terebellida,Sabellariidae,Sabellaria,Atlantic Ocean,,,USA,,,,Long Island Sound,,,,1866-10-,,Verrill,,
